NOM                                         ,PRIX                                         ,LIEN
ZOTAC 3090 Ti AMP Extreme Holo                                         ,1513.68                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyMjkiLCJuYW1lIjoiWk9UQUMgMzA5MCBUaSBBTVAgRXh0cmVtZSBIb2xvIiwiaW1hZ2UiOiIiLCJhc2luIjoiQjA5V0g0WEdETSIsImxpbmsiOiJodHRwczpcL1wvd3d3LmFtYXpvbi5jb21cL2RwXC9CMDlXSDRYR0RNP3NtaWQ9QVRWUERLSUtYMERFUiZ0YWc9Zml4aXRzZXJ2aWNlcy0yMCZsaW5rQ29kZT1vZ2kmdGg9MSZwc2M9MSIsIm9mZmVyaWQiOiJsR3pHcDQ3dFlCdk4lMkZ3eWpSd0tyNjV4QkI3SU8lMkJsNjBST3hTMUtCZldoMG5FekdMJTJGaFhKWDVmJTJCeDB0WXVVVTRCcFdneWpSJTJGQ1lNWExNdmxobVM0Rk5XSUd0RmxYTXN1SVNVVGp5R0M1d0FTajZvSlNienIlMkJKVEQ3bXhrV3dXdDZEc0RST1B5Z3VzQkNsTTVXUnlrekElM0QlM0QiLCJwcmljZSI6IjE1MTMuNjgiLCJzdG9yZSI6ImFtYXpvbiIsInNlcmllcyI6IjMwOTB0aSIsImNvdW50cnkiOiJ1cyIsInRpbWVzdGFtcCI6IjE2NjA3ODg3NzUifQ==
GIGABYTE RTX 3060 Ti Gaming OC PRO 8G (REV3.0) LHR                                         ,529.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyMzIiLCJuYW1lIjoiR0lHQUJZVEUgUlRYIDMwNjAgVGkgR2FtaW5nIE9DIFBSTyA4RyAoUkVWMy4wKSBMSFIiLCJpbWFnZSI6IiIsImFzaW4iOiJCMDk4UEpOV0tEIiwibGluayI6Imh0dHBzOlwvXC93d3cuYW1hem9uLmNvbVwvZHBcL0IwOThQSk5XS0Q/c21pZD1BVFZQREtJS1gwREVSJnRhZz1maXhpdHNlcnZpY2VzLTIwJmxpbmtDb2RlPW9naSZ0aD0xJnBzYz0xIiwib2ZmZXJpZCI6IjlVdDh1bzlDbmo2OW56SUE0TyUyQmhuOUJieUtPSEc4UnlsJTJCJTJCN1hHMWtSYW8zQUlkeEpjSlBndmxMcnQyRnpMc3NPQkw1WURNOFF5ajZZTjQlMkZjRXZNUUpjbzNLODRYaUxkSkdYWiUyRmg3Q3l3dXoxNHllSUFlejRhc2g1dzZFJTJGM1pNckpKZVVwdmRBMGRoSXViJTJGeEVNSUJRJTNEJTNEIiwicHJpY2UiOiI1MjkuOTkiLCJzdG9yZSI6ImFtYXpvbiIsInNlcmllcyI6IjMwNjB0aSIsImNvdW50cnkiOiJ1cyIsInRpbWVzdGFtcCI6IjE2NjA3ODg3OTEifQ==
EVGA GeForce RTX 3080 12GB FTW3 Ultra Gaming                                         ,899.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyMzQiLCJuYW1lIjoiRVZHQSBHZUZvcmNlIFJUWCAzMDgwIDEyR0IgRlRXMyBVbHRyYSBHYW1pbmciLCJpbWFnZSI6IiIsImFzaW4iOiJCMDlRM0RIN1YzIiwibGluayI6Imh0dHBzOlwvXC93d3cuYW1hem9uLmNvbVwvZHBcL0IwOVEzREg3VjM/c21pZD1BVFZQREtJS1gwREVSJnRhZz1maXhpdHNlcnZpY2VzLTIwJmxpbmtDb2RlPW9naSZ0aD0xJnBzYz0xIiwib2ZmZXJpZCI6IncyeTNjaCUyRlFJSWVHSUxWRlZRUzU5enplQlRha3BVVzU0aVI1bEhST3RGMzVwcUN4T2pYV2hmYm5RMml3U0VBRHBQb2xSZyUyQmRlJTJGWHAwS1pjSHdiNk5XTzVJWXVXVkFJTUVRJTJCd0Fva0JKWXh1JTJGYVhHVW9oWHZlenUlMkJndG5xWmxQWWxZRXVpc0tCMXM3TzBtTEU0S2phdyUzRCUzRCIsInByaWNlIjoiODk5Ljk5Iiwic3RvcmUiOiJhbWF6b24iLCJzZXJpZXMiOiIzMDgwLTEyZ2IiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzc0NDI2In0=
PNY 3060 XLR8 Revel Epic-X RGB                                         ,389.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyMzYiLCJuYW1lIjoiUE5ZIDMwNjAgWExSOCBSZXZlbCBFcGljLVggUkdCIiwiaW1hZ2UiOiIiLCJhc2luIjoiQjA4V1JRM0pSMSIsImxpbmsiOiJodHRwczpcL1wvd3d3LmFtYXpvbi5jb21cL2RwXC9CMDhXUlEzSlIxP3NtaWQ9QVRWUERLSUtYMERFUiZ0YWc9Zml4aXRzZXJ2aWNlcy0yMCZsaW5rQ29kZT1vZ2kmdGg9MSZwc2M9MSIsIm9mZmVyaWQiOiJEUklyZkhqaVpFRmJmdkNMcXR4U2hueDNHSnB2eGJCWDJJWlFSRmFFQ2xHcVZWSXlGMU5vckIwJTJCWkFzakFTVnJkckRGcSUyRm5aNHloeXZSMFNvY0VlTUtJcUJ5a1kxQWwwbkJRVzd0UXBQVTl0SSUyQnNoYUF3TGhkQ3ZlWUFnN2loak9KRTE4WFI2TVNldlN2cU5aSURUWkxNTGVKSWlNJTJCeFVTWVhnZkUxczJEZmxjckpaRHlmOXVnJTNEJTNEIiwicHJpY2UiOiIzODkuOTkiLCJzdG9yZSI6ImFtYXpvbiIsInNlcmllcyI6IjMwNjAiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzg4ODQ3In0=
ASUS Dual RX 6600 XT OC                                         ,431.17                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyMzciLCJuYW1lIjoiQVNVUyBEdWFsIFJYIDY2MDAgWFQgT0MiLCJpbWFnZSI6IiIsImFzaW4iOiJCMDlDRldTSkxCIiwibGluayI6Imh0dHBzOlwvXC93d3cuYW1hem9uLmNvbVwvZHBcL0IwOUNGV1NKTEI/c21pZD1BVFZQREtJS1gwREVSJnRhZz1maXhpdHNlcnZpY2VzLTIwJmxpbmtDb2RlPW9naSZ0aD0xJnBzYz0xIiwib2ZmZXJpZCI6IkpXMVlsU3BTMGd1TlpjamRwZXFoRWZFaUVCOE9CWndQdk11VDd0VlhmdHFhMXdFZSUyRk5DY0h4dE41aDZRWHlMWWhRU2JnYXNOa2l0QWVPU1JaODE2QXNsTHhvR05PakglMkIlMkJQOVBEQXJSVUZiWUslMkJmcXJ4eVFiJTJGeUtvcnNuNHRVN2hSanA3MmR6R3l0VUxENm9xa0F6Z1ElM0QlM0QiLCJwcmljZSI6IjQzMS4xNyIsInN0b3JlIjoiYW1hem9uIiwic2VyaWVzIjoicng2NjAweHQiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzc0NDUwIn0=
EVGA GeForce RTX 3080 FTW3 Ultra LHR                                         ,773.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyMzkiLCJuYW1lIjoiRVZHQSBHZUZvcmNlIFJUWCAzMDgwIEZUVzMgVWx0cmEgTEhSIiwiaW1hZ2UiOiIiLCJhc2luIjoiQjA5N1M2SkRNViIsImxpbmsiOiJodHRwczpcL1wvd3d3LmFtYXpvbi5jb21cL2RwXC9CMDk3UzZKRE1WP3NtaWQ9QVRWUERLSUtYMERFUiZ0YWc9Zml4aXRzZXJ2aWNlcy0yMCZsaW5rQ29kZT1vZ2kmdGg9MSZwc2M9MSIsIm9mZmVyaWQiOiJXSmc4RjZjdnhxZ1dLc0Y5TG8lMkZOc2ZvbW83YjBtTDZEWnRtSGJrYUYwM1lCbnRDRTJSZUdRZnpOeGppcXpIUjZwMHdFQzFyYjcwNm54VU9RRmFnU3J1cndxdnpWZWdIWndXUVYlMkZzVk1mSnRvY1V5VDlPd1d1bHJwZEFpb3FJJTJGZnhHdkpuZFBjJTJGdkZReTEweFBNeFNzUSUzRCUzRCIsInByaWNlIjoiNzczLjk5Iiwic3RvcmUiOiJhbWF6b24iLCJzZXJpZXMiOiIzMDgwIiwiY291bnRyeSI6InVzIiwidGltZXN0YW1wIjoiMTY2MDc4ODg2OSJ9
ZOTAC Gaming GeForce RTX 3050 Twin Edge OC                                         ,291.84                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNDIiLCJuYW1lIjoiWk9UQUMgR2FtaW5nIEdlRm9yY2UgUlRYIDMwNTAgVHdpbiBFZGdlIE9DIiwiaW1hZ2UiOiIiLCJhc2luIjoiQjA5UjJOV0NWMSIsImxpbmsiOiJodHRwczpcL1wvd3d3LmFtYXpvbi5jb21cL2RwXC9CMDlSMk5XQ1YxP3NtaWQ9QVRWUERLSUtYMERFUiZ0YWc9Zml4aXRzZXJ2aWNlcy0yMCZsaW5rQ29kZT1vZ2kmdGg9MSZwc2M9MSIsIm9mZmVyaWQiOiJBQTZ6QXFYTkFlT24zWkNzbUlKTFRJSkZpeVFLcGRhTUI3aSUyQkRVVDFKWkVDVUVpaEh0VnFCM2taU1lIOWE5RXMwUERacVdxQngyZ0FQNEpBN3FkdzdRcWc5b3RtWDBNc3ExUmdHZWswVVRzNU5RQnl6RW5nRUpCemZzb3lBVHlKcEtYZ0tqJTJCMUhQcDJxNWtuOHQ1TkZRJTNEJTNEIiwicHJpY2UiOiIyOTEuODQiLCJzdG9yZSI6ImFtYXpvbiIsInNlcmllcyI6IjMwNTAiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzc0NDg3In0=
EVGA 3090 Ti FTW3 Ultra                                         ,1399.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNDEiLCJuYW1lIjoiRVZHQSAzMDkwIFRpIEZUVzMgVWx0cmEiLCJpbWFnZSI6IiIsImFzaW4iOiJCMDlXNFNOMk03IiwibGluayI6Imh0dHBzOlwvXC93d3cuYW1hem9uLmNvbVwvZHBcL0IwOVc0U04yTTc/c21pZD1BVFZQREtJS1gwREVSJnRhZz1maXhpdHNlcnZpY2VzLTIwJmxpbmtDb2RlPW9naSZ0aD0xJnBzYz0xIiwib2ZmZXJpZCI6Ik1Tb0wyeHgycDhBSzVYT3VUd01IdW9nQ3p3NzVFRSUyQnlsRDJlUkpKMkNWUldFZlRNYnBkVSUyQkVmQWloYWpSNWZIbVVEY0E0YVlTSFRVN0ZNSGdidWlQUkI0c1R4Z1JYdmkwYzJwQ1JRY1lqeHo3UWdrV3F1eiUyQmQ3cWRDT2QxSXFhMXdQaFphcnBnMmJqa2NDZDZOa3JXQSUzRCUzRCIsInByaWNlIjoiMTM5OS45OSIsInN0b3JlIjoiYW1hem9uIiwic2VyaWVzIjoiMzA5MHRpIiwiY291bnRyeSI6InVzIiwidGltZXN0YW1wIjoiMTY2MDc4ODg4NyJ9
MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING TRIO PLUS 8G LHR                                         ,749.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNDMiLCJuYW1lIjoiTVNJIEdhbWluZyBHZUZvcmNlIFJUWCAzMDcwIDhHQiBHRERSNiBQQ0kgRXhwcmVzcyA0LjAgVmlkZW8gQ2FyZCBSVFggMzA3MCBHQU1JTkcgVFJJTyBQTFVTIDhHIExIUiIsImltYWdlIjoiaHR0cHMlM0ElMkYlMkZjMS5uZXdlZ2dpbWFnZXMuY29tJTJGUHJvZHVjdEltYWdlQ29tcHJlc3NBbGwzMDAlMkYxNC0xMzctNzAwLVMwMS5qcGciLCJsaW5rIjoiaHR0cHM6XC9cL2NsaWNrLmxpbmtzeW5lcmd5LmNvbVwvZGVlcGxpbms/aWQ9eEVua3hXSkhzRk0mbWlkPTQ0NTgzJm11cmw9aHR0cHMlM2ElMmYlMmZ3d3cubmV3ZWdnLmNvbSUyZnAlMmZOODJFMTY4MTQxMzc3MDAlM2ZJdGVtJTNkTjgyRTE2ODE0MTM3NzAwIiwicHJpY2UiOiI3NDkuOTkiLCJzdG9yZSI6Im5ld2VnZyIsInNlcmllcyI6IjMwNzAiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzg4ODg4In0=
MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING TRIO PLUS 8G LHR                                         ,749.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNDMiLCJuYW1lIjoiTVNJIEdhbWluZyBHZUZvcmNlIFJUWCAzMDcwIDhHQiBHRERSNiBQQ0kgRXhwcmVzcyA0LjAgVmlkZW8gQ2FyZCBSVFggMzA3MCBHQU1JTkcgVFJJTyBQTFVTIDhHIExIUiIsImltYWdlIjoiaHR0cHMlM0ElMkYlMkZjMS5uZXdlZ2dpbWFnZXMuY29tJTJGUHJvZHVjdEltYWdlQ29tcHJlc3NBbGwzMDAlMkYxNC0xMzctNzAwLVMwMS5qcGciLCJsaW5rIjoiaHR0cHM6XC9cL2NsaWNrLmxpbmtzeW5lcmd5LmNvbVwvZGVlcGxpbms/aWQ9eEVua3hXSkhzRk0mbWlkPTQ0NTgzJm11cmw9aHR0cHMlM2ElMmYlMmZ3d3cubmV3ZWdnLmNvbSUyZnAlMmZOODJFMTY4MTQxMzc3MDAlM2ZJdGVtJTNkTjgyRTE2ODE0MTM3NzAwIiwicHJpY2UiOiI3NDkuOTkiLCJzdG9yZSI6Im5ld2VnZyIsInNlcmllcyI6IjMwNzAiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzg4ODg4In0=
